"WID","login_count","level","playcount_sum","playtime_sum","recent_date","mode"
W13476,1166,57,35,15716,2023-04-23,1
W13489,2907,51,798,259106,2023-06-18,5
W13489,2907,51,639,401641,2023-06-30,3
W13489,2907,51,3,2911,2022-04-12,4
W13489,2907,51,185,86260,2023-06-30,1
W13540,3435,61,128,120241,2023-01-15,4
W13540,3435,61,3017,1584966,2023-06-30,3
W13540,3435,61,2777,899942,2023-05-22,5
W13540,3435,61,241,83640,2023-04-18,1
W13616,626,48,657,324351,2023-06-05,3
W13616,626,48,255,76696,2023-06-13,1
W13616,626,48,6,7119,2022-07-27,4
W13616,626,48,508,191768,2023-06-05,5
W13620,349,54,413,247342,2023-02-05,4
W13620,349,54,134,75837,2023-06-24,3
W13620,349,54,33,12052,2023-04-15,5
W13620,349,54,567,248579,2023-06-28,1
W13653,6888,65,162,134085,2023-06-26,4
W13653,6888,65,1573,617298,2023-06-30,5
W13653,6888,65,510,244843,2023-06-30,1
W13653,6888,65,2351,1652836,2023-06-30,3
W13675,901,48,19,7971,2022-11-19,4
W13675,901,48,1233,445350,2022-12-23,3
W13675,901,48,381,123723,2022-12-23,5
W13675,901,48,7,699,2022-12-18,1
W13810,732,64,1592,1628483,2023-06-29,4
W13810,732,64,314,227891,2023-06-24,1
W13810,732,64,270,174260,2023-01-14,3
W13810,732,64,4,1328,2023-05-04,5
W13914,1955,60,44,43172,2023-04-04,4
W13914,1955,60,2055,1086302,2023-06-30,3
W13914,1955,60,636,201054,2023-06-28,5
W13914,1955,60,24,7157,2023-06-01,1
W13951,566,51,513,436346,2023-06-21,4
W13951,566,51,146,78742,2023-06-23,3
W13951,566,51,4,3000,2022-06-24,1
W13951,566,51,47,15586,2022-12-16,5
W14013,617,49,15,4300,2023-06-30,5
W14013,617,49,51,23939,2023-06-29,1
W14013,617,49,114,97140,2023-04-12,4
W14013,617,49,402,327694,2023-06-30,3
W14113,1627,51,39,29264,2023-06-24,4
W14113,1627,51,874,438369,2023-06-26,3
W14113,1627,51,1041,387209,2023-06-19,5
W14113,1627,51,307,183117,2023-06-30,1
W14186,792,58,215,186509,2023-06-25,4
W14186,792,58,1779,1078144,2023-06-28,3
W14186,792,58,199,83754,2023-05-23,1
W14186,792,58,70,23408,2022-10-17,5
W14212,3056,64,114,56268,2023-04-08,4
W14212,3056,64,3602,1975253,2023-06-24,3
W14212,3056,64,1806,617176,2023-06-22,5
W14212,3056,64,210,69702,2023-06-23,1
W14288,2149,58,35,49329,2022-05-27,4
